,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,Nifty 50,NIFTY 50,19 May 2023,18186.15,18218.10,18060.40,18203.40
1,Nifty 50,NIFTY 50,18 May 2023,18287.50,18297.20,18104.85,18129.95
2,Nifty 50,NIFTY 50,17 May 2023,18300.45,18309.00,18115.35,18181.75
3,Nifty 50,NIFTY 50,16 May 2023,18432.35,18432.35,18264.35,18286.50
4,Nifty 50,NIFTY 50,15 May 2023,18339.30,18458.90,18287.90,18398.85
5,Nifty 50,NIFTY 50,12 May 2023,18273.75,18342.75,18194.55,18314.80
6,Nifty 50,NIFTY 50,11 May 2023,18357.80,18389.70,18270.40,18297.00
7,Nifty 50,NIFTY 50,10 May 2023,18313.60,18326.75,18211.95,18315.10
8,Nifty 50,NIFTY 50,09 May 2023,18303.40,18344.20,18229.65,18265.95
9,Nifty 50,NIFTY 50,08 May 2023,18120.60,18286.95,18100.30,18264.40
10,Nifty 50,NIFTY 50,05 May 2023,18117.30,18216.95,18055.45,18069.00
11,Nifty 50,NIFTY 50,04 May 2023,18081.00,18267.45,18066.70,18255.80
12,Nifty 50,NIFTY 50,03 May 2023,18113.80,18116.35,18042.40,18089.85
13,Nifty 50,NIFTY 50,02 May 2023,18124.80,18180.25,18101.75,18147.65
14,Nifty 50,NIFTY 50,28 Apr 2023,17950.40,18089.15,17885.30,18065.00
15,Nifty 50,NIFTY 50,27 Apr 2023,17813.10,17931.60,17797.90,17915.05
16,Nifty 50,NIFTY 50,26 Apr 2023,17767.30,17827.75,17711.20,17813.60
17,Nifty 50,NIFTY 50,25 Apr 2023,17761.55,17807.45,17716.85,17769.25
18,Nifty 50,NIFTY 50,24 Apr 2023,17707.55,17754.50,17612.50,17743.40
19,Nifty 50,NIFTY 50,21 Apr 2023,17639.75,17663.20,17553.95,17624.05
20,Nifty 50,NIFTY 50,20 Apr 2023,17638.60,17684.45,17584.35,17624.45
21,Nifty 50,NIFTY 50,19 Apr 2023,17653.35,17666.15,17579.85,17618.75
